# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.36318 -0.01817 0.00000 0.00238 -0.04761 0.00000 -5.6572e-18 -5.7346e-18 6.0000e-01 4.5536e-18 -1.1709e-17 3.7075e-01 0.39097 0.49913 0.61792 0.00000 -0.00000 0.00000 1.11225e-01 2.12860e-30 -5.0730599433e-01 -3.9608110398e-01 6.8743826080e-32 
10.000 -0.06707 -0.34997 0.00007 0.04814 -0.00795 0.00001 -5.3397e-05 -1.3718e-04 6.0181e-01 4.3528e-05 -4.1007e-05 3.7014e-01 0.39223 0.48654 0.61505 0.02729 0.00005 0.00011 1.11378e-01 1.29918e-03 -5.1032689025e-01 -3.9765009631e-01 5.8343387471e-08 
20.000 0.32482 -0.11731 0.00016 0.01646 0.04734 -0.00000 2.9277e-04 -1.1040e-04 6.0273e-01 8.1015e-05 -2.2100e-05 3.7077e-01 0.41200 0.46685 0.61516 0.04723 0.00003 -0.00006 1.11737e-01 1.30032e-03 -5.1030863700e-01 -3.9727143353e-01 8.8654500788e-08 
30.000 0.15321 0.31083 0.00013 -0.04454 0.02287 -0.00001 7.2032e-05 2.3889e-04 6.0190e-01 7.0017e-05 4.7941e-05 3.7021e-01 0.43917 0.43961 0.61507 0.05450 -0.00010 0.00004 1.11417e-01 1.29942e-03 -5.1032340076e-01 -3.9760708960e-01 7.4854613539e-08 
40.005 -0.28912 0.21108 0.00004 -0.02938 -0.03842 -0.00000 -1.0716e-04 1.4740e-06 6.0261e-01 3.0311e-06 2.7342e-05 3.7069e-01 0.46606 0.41278 0.61514 0.04764 0.00005 0.00009 1.11689e-01 1.29951e-03 -5.1031206501e-01 -3.9732324943e-01 7.4057920655e-08 
50.005 -0.27621 -0.23313 0.00002 0.03133 -0.03646 0.00001 1.3766e-04 -1.8168e-04 6.0197e-01 1.7280e-05 -2.9874e-05 3.7026e-01 0.48619 0.39261 0.61508 0.02798 0.00006 -0.00007 1.11443e-01 1.29946e-03 -5.1032117904e-01 -3.9757854447e-01 6.9941281624e-08 
60.005 0.16474 -0.31311 0.00012 0.04301 0.02361 0.00001 1.2362e-04 1.2216e-04 6.0249e-01 5.2892e-05 -4.0108e-05 3.7060e-01 0.49397 0.38485 0.61512 0.00102 -0.00014 -0.00001 1.11642e-01 1.29975e-03 -5.1031521219e-01 -3.9737355586e-01 8.1217844189e-08 
70.005 0.32781 0.11359 0.00018 -0.01664 0.04720 -0.00000 2.7646e-05 3.1963e-06 6.0203e-01 9.1823e-05 1.6122e-05 3.7031e-01 0.48718 0.39163 0.61510 -0.02631 0.00003 0.00013 1.11469e-01 1.30000e-03 -5.1031937714e-01 -3.9755003119e-01 8.1208480206e-08 
80.005 -0.06712 0.34451 0.00007 -0.04855 -0.00856 -0.00001 7.5470e-05 -6.4741e-05 6.0238e-01 2.5447e-05 4.7867e-05 3.7052e-01 0.46776 0.41105 0.61510 -0.04658 0.00013 -0.00002 1.11598e-01 1.29926e-03 -5.1031818122e-01 -3.9742090788e-01 8.4930117100e-08 
90.005 -0.35653 0.00007 0.00000 -0.00006 -0.04851 0.00000 1.3076e-04 1.2188e-04 6.0225e-01 -1.2158e-06 -7.4436e-06 3.7046e-01 0.44078 0.43805 0.61513 -0.05456 -0.00009 -0.00009 1.11556e-01 1.29971e-03 -5.1031361578e-01 -3.9745779438e-01 7.9718366234e-08 
100.005 -0.07209 -0.34708 0.00008 0.04797 -0.00961 0.00001 -1.0736e-04 -4.2202e-05 6.0219e-01 2.0300e-05 -4.0582e-05 3.7040e-01 0.41346 0.46533 0.61508 -0.04795 -0.00004 0.00010 1.11524e-01 1.29923e-03 -5.1032159207e-01 -3.9749801627e-01 6.8416860339e-08 
110.005 0.32593 -0.12908 0.00017 0.01798 0.04618 0.00000 1.3580e-04 -1.5734e-04 6.0229e-01 8.5911e-05 -2.1605e-05 3.7049e-01 0.39297 0.48587 0.61513 -0.02869 0.00010 0.00005 1.11570e-01 1.30026e-03 -5.1031285733e-01 -3.9744252977e-01 7.9819597569e-08 
120.005 0.18066 0.30286 0.00013 -0.04198 0.02577 -0.00001 2.5912e-04 1.1735e-04 6.0207e-01 6.0181e-05 4.1530e-05 3.7031e-01 0.38493 0.49385 0.61506 -0.00174 -0.00003 -0.00007 1.11475e-01 1.29930e-03 -5.1032485834e-01 -3.9755097839e-01 7.1111308311e-08 
130.005 -0.26494 0.23910 0.00003 -0.03247 -0.03595 -0.00001 -1.2690e-04 1.1380e-04 6.0253e-01 6.9755e-06 2.1415e-05 3.7065e-01 0.39122 0.48763 0.61516 0.02568 -0.00005 0.00009 1.11664e-01 1.30017e-03 -5.1030834453e-01 -3.9734463780e-01 6.8941323302e-08 
