# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.27239 -0.01363 -0.00000 0.00275 -0.05498 0.00000 6.8035e-18 -1.0508e-18 6.0000e-01 1.0842e-18 0.0000e+00 3.6254e-01 0.38884 0.49525 0.60423 -0.00000 0.00000 -0.00000 1.08761e-01 8.63722e-31 -5.1004702557e-01 -4.0128623512e-01 6.8719171033e-32 
10.000 0.14710 -0.20838 -0.00033 0.04633 0.03652 -0.00004 -4.5336e-04 3.6806e-04 6.0188e-01 -2.4767e-04 1.3173e-04 3.6191e-01 0.39045 0.48254 0.60130 0.02734 -0.00006 -0.00013 1.08913e-01 1.27293e-03 -5.1302329700e-01 -4.0283747826e-01 4.0283245956e-07 
20.000 0.03219 0.25044 -0.00029 -0.05918 0.00875 0.00007 -5.4563e-04 -3.5331e-04 6.0016e-01 -1.8363e-04 -1.7571e-04 3.6077e-01 0.41104 0.46181 0.60112 0.04693 0.00002 0.00010 1.08258e-01 1.27491e-03 -5.1305780280e-01 -4.0352471215e-01 3.7163778740e-07 
30.000 -0.23625 -0.12765 -0.00005 0.02615 -0.05014 -0.00001 3.1693e-04 -1.2962e-04 6.0022e-01 3.2912e-05 3.2932e-05 3.6077e-01 0.43864 0.43417 0.60106 0.05324 0.00012 -0.00017 1.08271e-01 1.27400e-03 -5.1306784592e-01 -4.0352329864e-01 2.2160414678e-07 
40.005 0.22692 -0.13143 -0.00035 0.02799 0.05025 -0.00003 -4.0932e-04 2.4653e-04 6.0211e-01 -2.6826e-04 2.7834e-05 3.6201e-01 0.46541 0.40753 0.60124 0.04498 -0.00009 -0.00015 1.08984e-01 1.27357e-03 -5.1303545862e-01 -4.0277770091e-01 3.5502323947e-07 
50.005 -0.05051 0.24969 -0.00024 -0.05725 -0.01153 0.00003 -3.2369e-04 -9.1721e-05 6.0328e-01 -6.1076e-05 -1.6061e-04 3.6282e-01 0.48459 0.38848 0.60141 0.02391 -0.00019 0.00016 1.09440e-01 1.27373e-03 -5.1300541552e-01 -4.0229147786e-01 4.3259766096e-07 
60.005 -0.15906 -0.20719 -0.00017 0.04545 -0.03551 -0.00003 9.0104e-05 -1.6780e-04 6.0205e-01 2.9664e-05 1.5912e-04 3.6202e-01 0.48990 0.38309 0.60131 -0.00413 0.00037 -0.00003 1.08977e-01 1.27264e-03 -5.1302236866e-01 -4.0277233605e-01 3.6567539053e-07 
70.005 0.26738 -0.02133 -0.00033 0.00425 0.05654 0.00002 -1.2532e-04 3.5120e-04 6.0025e-01 -2.1788e-04 6.3914e-05 3.6080e-01 0.47991 0.39292 0.60109 -0.03085 -0.00013 -0.00024 1.08287e-01 1.27394e-03 -5.1306227273e-01 -4.0350167540e-01 2.5347965352e-07 
80.005 -0.12543 0.22379 -0.00012 -0.05086 -0.02963 0.00001 -1.2485e-04 3.3211e-05 6.0034e-01 -6.2825e-06 -9.9469e-05 3.6085e-01 0.45788 0.41493 0.60107 -0.04878 -0.00020 0.00009 1.08316e-01 1.27519e-03 -5.1306746552e-01 -4.0347625444e-01 3.0108953120e-07 
90.005 -0.06547 -0.24476 -0.00035 0.05676 -0.01755 -0.00004 -4.1687e-04 1.1238e-04 6.0196e-01 -7.5611e-05 2.6830e-04 3.6192e-01 0.42990 0.44304 0.60124 -0.05307 0.00033 0.00018 1.08932e-01 1.27444e-03 -5.1303552306e-01 -4.0282875825e-01 4.2529124822e-07 
100.005 0.25526 0.09422 -0.00026 -0.01839 0.05211 0.00004 1.0143e-04 1.1032e-04 6.0271e-01 -2.0092e-04 6.4004e-05 3.6244e-01 0.40359 0.46944 0.60134 -0.04233 0.00003 -0.00039 1.09222e-01 1.27276e-03 -5.1301570672e-01 -4.0252130987e-01 3.0388272905e-07 
110.005 -0.19881 0.17034 -0.00001 -0.03538 -0.04575 -0.00001 6.3399e-05 2.6977e-04 6.0116e-01 6.3483e-05 1.5026e-05 3.6144e-01 0.38663 0.48631 0.60123 -0.01933 -0.00019 0.00007 1.08641e-01 1.27276e-03 -5.1303584943e-01 -4.0312204956e-01 3.5305636357e-07 
120.005 0.01414 -0.24977 -0.00048 0.06045 0.00290 -0.00002 -4.7273e-04 4.8602e-04 5.9971e-01 -7.6648e-05 3.1877e-04 3.6047e-01 0.38391 0.48889 0.60106 0.00908 0.00014 0.00017 1.08088e-01 1.27566e-03 -5.1306876999e-01 -4.0370548444e-01 3.3131287584e-07 
130.005 0.19380 0.18066 -0.00010 -0.03773 0.04307 0.00006 -1.1552e-04 -1.5720e-04 6.0033e-01 -2.0521e-04 8.3194e-05 3.6084e-01 0.39602 0.47679 0.60107 0.03480 0.00027 -0.00026 1.08312e-01 1.27480e-03 -5.1306725856e-01 -4.0348033284e-01 2.6058817090e-07 
140.005 -0.25696 0.07541 -0.00007 -0.01540 -0.05431 -0.00006 3.4194e-04 4.9577e-04 6.0221e-01 9.5569e-05 1.7778e-04 3.6209e-01 0.41956 0.45340 0.60127 0.05081 -0.00011 -0.00012 1.09026e-01 1.27366e-03 -5.1303074467e-01 -4.0273137189e-01 3.2223499842e-07 
150.005 0.08709 -0.24247 -0.00051 0.05419 0.02097 -0.00002 -4.5492e-04 6.8926e-04 6.0251e-01 -1.2666e-04 3.1679e-04 3.6233e-01 0.44814 0.42491 0.60137 0.05238 0.00008 0.00007 1.09154e-01 1.27323e-03 -5.1301129304e-01 -4.0258430232e-01 4.0092627499e-07 
160.005 0.11949 0.22619 -0.00005 -0.05218 0.02750 0.00007 -3.6389e-04 -2.2406e-04 6.0115e-01 -1.6384e-04 2.1220e-05 3.6144e-01 0.47330 0.39964 0.60124 0.03875 0.00021 0.00003 1.08640e-01 1.27312e-03 -5.1303431517e-01 -4.0312159921e-01 4.0709648259e-07 
170.005 -0.26611 -0.03920 -0.00019 0.00720 -0.05620 -0.00007 4.4697e-04 1.8486e-04 6.0014e-01 1.0286e-04 1.8141e-04 3.6073e-01 0.48779 0.38502 0.60107 0.01409 0.00017 -0.00020 1.08244e-01 1.27426e-03 -5.1306661898e-01 -4.0354839728e-01 2.3642983412e-07 
180.005 0.16214 -0.20933 -0.00038 0.04442 0.03579 0.00004 -1.9432e-04 8.3724e-04 6.0122e-01 -9.6735e-05 2.8151e-04 3.6142e-01 0.48785 0.38502 0.60114 -0.01440 -0.00007 0.00002 1.08646e-01 1.27441e-03 -5.1305445072e-01 -4.0313440756e-01 3.2184756885e-07 
190.005 0.04452 0.24786 -0.00012 -0.05851 0.01106 -0.00000 -2.1797e-04 -1.7328e-04 6.0253e-01 1.5321e-05 -4.9495e-05 3.6232e-01 0.47335 0.39966 0.60133 -0.03896 0.00002 0.00019 1.09155e-01 1.27490e-03 -5.1302117458e-01 -4.0259132477e-01 4.2756779081e-07 
200.005 -0.23035 -0.13633 -0.00033 0.02735 -0.04918 -0.00005 2.9073e-04 -1.3676e-05 6.0223e-01 1.6137e-04 2.0333e-04 3.6214e-01 0.44798 0.42505 0.60134 -0.05238 0.00037 0.00005 1.09046e-01 1.27300e-03 -5.1301765112e-01 -4.0269896269e-01 3.3713846976e-07 
210.005 0.22926 -0.14130 -0.00026 0.02799 0.04910 0.00008 2.6130e-04 7.1927e-04 6.0039e-01 -6.0988e-05 2.4214e-04 3.6092e-01 0.41928 0.45360 0.60114 -0.05053 -0.00012 -0.00022 1.08346e-01 1.27286e-03 -5.1305179851e-01 -4.0343282027e-01 2.9302677204e-07 
