# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.27239 -0.01363 0.00000 0.00275 -0.05498 0.00000 -6.0293e-18 -2.4204e-18 8.0000e-01 2.1684e-18 8.6736e-19 4.7161e-01 0.38842 0.50170 0.58951 0.00000 0.00000 0.00000 1.88644e-01 1.12696e-30 -5.0905904258e-01 -3.2041478733e-01 1.6955334154e-32 
10.000 0.14660 -0.20954 -0.00011 0.04702 0.03515 -0.00005 -2.7451e-04 -2.8778e-04 7.8991e-01 -1.4203e-04 -3.1336e-05 4.7119e-01 0.50091 0.38296 0.59650 0.00517 0.00010 -0.00000 1.86099e-01 1.67789e-03 -5.1016098526e-01 -3.2238434357e-01 2.8219307783e-07 
20.000 0.03388 0.24986 -0.00006 -0.05886 0.00995 -0.00001 3.0715e-05 5.1961e-05 7.8819e-01 6.2206e-06 -4.8650e-05 4.6999e-01 0.38368 0.50002 0.59630 -0.00954 -0.00009 -0.00001 1.85222e-01 1.64944e-03 -5.1019791783e-01 -3.2332603362e-01 7.2593320058e-08 
30.000 -0.23678 -0.12573 0.00000 0.02619 -0.04985 0.00001 8.2425e-05 -1.4510e-04 7.8825e-01 -5.4910e-06 -1.4656e-05 4.7004e-01 0.49931 0.38442 0.59631 0.01360 0.00005 -0.00006 1.85255e-01 1.65208e-03 -5.1019482875e-01 -3.2328787539e-01 7.2600934931e-08 
40.005 0.22639 -0.13113 -0.00009 0.02745 0.05080 0.00001 -2.2980e-04 5.7955e-05 7.8869e-01 -2.4016e-05 5.9479e-05 4.7040e-01 0.38544 0.49837 0.59643 -0.01783 0.00003 0.00008 1.85499e-01 1.67186e-03 -5.1017769166e-01 -3.2300682096e-01 1.0135926785e-07 
50.005 -0.04557 0.25191 -0.00009 -0.05724 -0.01024 0.00006 -1.7746e-04 7.3725e-05 7.8938e-01 -1.3162e-04 -9.4484e-05 4.7095e-01 0.49741 0.38653 0.59660 0.02134 -0.00015 -0.00006 1.85877e-01 1.69794e-03 -5.1015051035e-01 -3.2257514577e-01 1.1399021555e-07 
60.005 -0.16192 -0.20000 -0.00012 0.04467 -0.03749 -0.00001 -1.5418e-05 -2.2188e-05 7.8819e-01 1.5655e-05 4.8692e-05 4.7009e-01 0.38794 0.49587 0.59642 -0.02430 0.00008 0.00003 1.85261e-01 1.67017e-03 -5.1018112034e-01 -3.2325029862e-01 1.0122158202e-07 
70.005 0.26495 -0.00986 -0.00015 0.00321 0.05718 -0.00002 -3.1943e-04 -2.2062e-05 7.8685e-01 -1.0142e-04 -3.4503e-05 4.6913e-01 0.49439 0.38927 0.59621 0.02678 -0.00002 0.00007 1.84568e-01 1.64105e-03 -5.1021577107e-01 -3.2400630451e-01 6.1802419814e-08 
80.005 -0.12874 0.22973 -0.00007 -0.04911 -0.02938 0.00002 2.0024e-04 -4.7872e-05 7.8658e-01 -1.2076e-05 -4.6869e-05 4.6896e-01 0.39045 0.49321 0.59620 -0.02898 -0.00002 -0.00012 1.84438e-01 1.64043e-03 -5.1021796494e-01 -3.2413910655e-01 6.2701126320e-08 
90.005 -0.08220 -0.23506 -0.00014 0.05710 -0.01885 -0.00003 3.4186e-05 -6.7651e-05 7.8749e-01 -1.8766e-05 9.1928e-05 4.6967e-01 0.49238 0.39142 0.59641 0.03098 0.00015 -0.00004 1.84930e-01 1.67323e-03 -5.1018542711e-01 -3.2358216320e-01 1.1817748132e-07 
