# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 1.97772 0.09897 0.00000 -0.03517 0.70272 0.00000 8.0139e-17 8.8865e-19 3.5500e-01 2.4352e-21 2.7529e-21 9.0635e-05 0.00016 0.00022 0.00026 0.00000 0.00000 -0.00000 1.60876e-05 1.63777e-30 -2.3178345436e-04 -2.1569580604e-04 7.7181220408e-33 
10.002 -1.72354 -0.95216 0.01364 0.35483 -0.62096 0.00165 9.5404e-04 -4.9680e-04 3.6751e-01 -7.6485e-09 -8.6735e-08 9.3792e-05 0.00018 0.00021 0.00026 -0.00003 0.00000 -0.00000 1.72346e-05 2.80432e-04 -2.3186940389e-04 6.5797061224e-05 2.0017399873e-08 
20.000 1.08150 1.65545 -0.00213 -0.58161 0.40404 -0.00347 -2.3749e-04 -2.8781e-03 3.5216e-01 1.5192e-07 -4.4647e-07 8.9875e-05 0.00020 0.00018 0.00026 -0.00003 0.00000 0.00000 1.58256e-05 2.79981e-04 -2.3186998091e-04 6.3936539392e-05 1.3618419971e-10 
30.000 -0.30360 -1.94213 0.02467 0.70319 -0.09667 -0.00080 -8.1825e-03 6.2949e-03 3.6602e-01 -1.8262e-06 1.2406e-06 9.3420e-05 0.00022 0.00016 0.00026 -0.00001 0.00000 0.00000 1.71080e-05 2.80058e-04 -2.3186821295e-04 6.5297570959e-05 9.1328923005e-11 
40.002 -0.60299 1.88403 -0.00409 -0.67801 -0.21464 0.00583 3.5514e-03 1.1647e-02 3.5241e-01 7.1871e-07 3.0935e-06 8.9935e-05 0.00022 0.00017 0.00026 0.00002 0.00000 -0.00000 1.58664e-05 2.79668e-04 -2.3187059599e-04 6.3663447462e-05 7.2723358416e-11 
50.002 1.40739 -1.40609 0.00448 0.50005 0.48751 -0.00892 1.0403e-02 4.9127e-03 3.7556e-01 2.6428e-06 9.6184e-07 9.5854e-05 0.00019 0.00019 0.00026 0.00003 -0.00000 0.00000 1.80155e-05 2.80245e-04 -2.3186699034e-04 6.6393889320e-05 9.1824601434e-11 
60.002 -1.83386 0.68036 0.02246 -0.23796 -0.67907 0.00506 4.7512e-03 -5.1590e-03 3.4101e-01 9.9607e-07 -1.0095e-06 8.7031e-05 0.00017 0.00021 0.00026 0.00002 0.00000 0.00000 1.48442e-05 2.79724e-04 -2.3187134724e-04 6.2696800720e-05 8.5909861280e-11 
70.002 1.96099 0.22843 -0.00687 -0.07400 0.70501 0.00012 6.7548e-04 -1.0350e-03 3.7439e-01 5.6260e-07 -1.6848e-07 9.5550e-05 0.00016 0.00022 0.00026 -0.00000 0.00000 0.00000 1.78867e-05 2.79926e-04 -2.3186784221e-04 6.5944963875e-05 8.2834056143e-11 
80.000 -1.67953 -1.06290 0.01484 0.38567 -0.58710 -0.00112 4.2755e-03 -2.0750e-03 3.5094e-01 9.4668e-07 -6.3398e-07 8.9567e-05 0.00018 0.00020 0.00026 -0.00003 -0.00000 0.00000 1.57191e-05 2.80040e-04 -2.3187028913e-04 6.3888443992e-05 9.3800540791e-11 
90.000 0.99585 1.68133 0.00357 -0.61782 0.37404 0.00067 7.4646e-04 -2.7912e-03 3.6646e-01 2.2487e-07 -6.6471e-07 9.3529e-05 0.00020 0.00018 0.00026 -0.00003 -0.00000 -0.00000 1.71385e-05 2.79679e-04 -2.3186906346e-04 6.4948129524e-05 6.9387111441e-11 
