# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 2.97030 -0.00000 -0.00000 0.00000 0.57448 0.00000 9.0222e-17 6.2852e-18 4.0000e-01 8.4703e-22 5.8234e-22 1.2313e-04 0.00017 0.00028 0.00031 0.00000 -0.00000 -0.00000 2.46264e-05 5.92532e-31 -1.9203281070e-04 -1.6740640569e-04 6.9535928785e-33 
10.002 -1.10270 2.72758 -0.00284 -0.53868 -0.21905 -0.00020 1.4443e-03 -2.2066e-03 2.5151e-01 2.9146e-07 -7.8300e-07 7.7135e-05 0.00017 0.00028 0.00031 -0.00002 -0.00000 0.00000 9.70134e-06 9.02165e-04 -1.9236452266e-04 7.1950191583e-04 3.0562982008e-07 
20.000 -2.12149 -2.08742 -0.00253 0.39887 -0.41443 0.00038 1.3421e-03 -4.7282e-03 2.1933e-01 1.4218e-07 -1.1623e-06 6.7251e-05 0.00022 0.00023 0.00031 0.00006 -0.00000 0.00000 7.37784e-06 9.07662e-04 -1.9237520570e-04 7.2266458301e-04 1.1967184737e-09 
30.000 2.68969 -1.32449 0.00010 0.24856 0.51305 0.00006 -1.5123e-03 -4.1248e-03 3.1003e-01 -3.2210e-07 -1.4479e-06 9.5152e-05 0.00028 0.00017 0.00031 0.00002 -0.00000 0.00000 1.47532e-05 9.07425e-04 -1.9232962055e-04 7.2984847559e-04 4.8584962039e-10 
40.002 0.21780 2.89852 -0.00236 -0.58687 0.03584 -0.00035 -2.2052e-03 -5.0906e-03 3.2870e-01 -6.6962e-07 -1.6757e-06 1.0093e-04 0.00023 0.00021 0.00031 0.00006 -0.00000 0.00000 1.65927e-05 9.07518e-04 -1.9231325050e-04 7.3179717190e-04 7.6333096401e-10 
50.002 -2.73773 -1.09800 -0.00327 0.20145 -0.54577 0.00017 -5.3728e-04 4.7569e-04 1.2936e-01 -1.9953e-07 -3.1069e-07 3.9647e-05 0.00028 0.00017 0.00031 -0.00002 -0.00000 -0.00000 2.56435e-06 9.07486e-04 -1.9238553070e-04 7.1766463709e-04 1.2138319648e-10 
60.002 1.95474 -2.36553 -0.00039 0.43220 0.35605 0.00016 -7.0712e-03 4.8631e-03 3.2126e-02 -1.7439e-06 7.2403e-07 9.8567e-06 0.00027 0.00018 0.00031 0.00003 0.00000 0.00000 1.66258e-07 9.07328e-04 -1.9236623311e-04 7.1512769730e-04 2.7616850372e-10 
70.002 1.62101 2.47260 -0.00081 -0.49391 0.30354 -0.00037 -3.0170e-03 2.5712e-03 2.0309e-01 -1.4289e-06 1.4717e-06 6.2177e-05 0.00017 0.00028 0.00031 0.00001 0.00000 -0.00000 6.31766e-06 9.07366e-04 -1.9236818454e-04 7.2131549208e-04 1.1024818097e-10 
80.000 -2.86370 0.34235 -0.00352 -0.07525 -0.58723 -0.00008 -1.5303e-02 7.6794e-03 3.8859e-01 -1.3306e-06 9.2634e-07 1.1935e-04 0.00017 0.00027 0.00031 0.00003 -0.00000 0.00000 2.32022e-05 9.07394e-04 -1.9226571380e-04 7.3833091338e-04 5.2699122645e-10 
90.000 0.87118 -2.86665 -0.00078 0.54996 0.15508 0.00035 7.0415e-03 -1.4320e-03 2.3678e-01 -3.0438e-07 -6.7162e-07 7.2468e-05 0.00017 0.00028 0.00031 0.00001 -0.00000 -0.00001 8.57877e-06 9.07371e-04 -1.9236456935e-04 7.2358543187e-04 1.8305552853e-10 
