# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.02970 -0.00000 -0.00000 0.00000 -0.00574 0.00000 -3.7879e-18 -9.6191e-18 8.0000e-01 -2.1359e-17 1.5179e-18 3.8788e-01 0.44079 0.45536 0.48485 -0.00000 0.00000 -0.00000 1.55151e-01 5.59294e-31 -5.3486553992e-01 -3.7971463234e-01 7.2075000075e-33 
10.002 0.01091 -0.02734 -0.00000 0.00538 0.00217 0.00000 1.7657e-05 1.0737e-04 7.9704e-01 2.4897e-06 2.0899e-06 3.8788e-01 0.45144 0.43703 0.48665 0.00173 -0.00006 -0.00001 1.54577e-01 9.41020e-04 -5.3617170290e-01 -3.8065319851e-01 7.5335256546e-07 
20.000 0.02072 0.02084 0.00000 -0.00410 0.00411 0.00000 -1.5111e-04 -7.1333e-05 7.9699e-01 -1.0341e-06 3.0148e-06 3.8787e-01 0.43759 0.45087 0.48667 -0.00331 0.00004 0.00008 1.54566e-01 9.50622e-04 -5.3617284337e-01 -3.8065651747e-01 2.2712476010e-09 
30.000 -0.02740 0.01140 0.00000 -0.00223 -0.00530 -0.00000 1.3847e-04 -5.5811e-05 7.9699e-01 -7.3110e-09 2.6024e-07 3.8787e-01 0.44992 0.43853 0.48667 0.00475 0.00003 -0.00008 1.54564e-01 9.49889e-04 -5.3617305569e-01 -3.8065962903e-01 3.1175104633e-10 
40.002 -0.00065 -0.02950 -0.00000 0.00579 -0.00009 0.00000 -6.1000e-05 1.2534e-04 7.9698e-01 1.3222e-06 1.7413e-06 3.8787e-01 0.43979 0.44866 0.48667 -0.00594 -0.00007 0.00004 1.54561e-01 9.49951e-04 -5.3617319393e-01 -3.8066241422e-01 2.5516334401e-10 
50.002 0.02721 0.01100 0.00000 -0.00217 0.00540 0.00000 -3.4180e-05 -1.4376e-04 7.9697e-01 1.3820e-07 1.5673e-06 3.8786e-01 0.44718 0.44127 0.48667 0.00680 0.00008 0.00002 1.54559e-01 9.49959e-04 -5.3617331496e-01 -3.8066484369e-01 3.0051572932e-10 
60.002 -0.02084 0.02103 0.00000 -0.00412 -0.00404 -0.00000 1.5313e-04 8.0061e-05 7.9697e-01 1.1257e-06 1.8300e-06 3.8786e-01 0.44291 0.44554 0.48667 -0.00729 -0.00004 -0.00008 1.54558e-01 9.49888e-04 -5.3617335838e-01 -3.8066502917e-01 2.4320054366e-10 
70.002 -0.01209 -0.02702 -0.00000 0.00528 -0.00232 -0.00000 -1.5111e-04 8.0161e-05 7.9698e-01 -7.0521e-07 2.3266e-06 3.8786e-01 0.44383 0.44462 0.48667 0.00740 -0.00004 0.00008 1.54560e-01 9.49827e-04 -5.3617332425e-01 -3.8066370057e-01 2.9641526234e-10 
80.000 0.02933 -0.00062 -0.00000 0.00012 0.00582 -0.00000 3.7396e-05 -1.4546e-04 7.9699e-01 4.1350e-07 -6.7663e-07 3.8787e-01 0.44629 0.44217 0.48667 -0.00712 0.00008 -0.00002 1.54563e-01 9.49801e-04 -5.3617321309e-01 -3.8066082367e-01 2.9941281407e-10 
90.000 -0.01101 0.02741 0.00000 -0.00537 -0.00213 -0.00000 6.5359e-05 1.2932e-04 7.9699e-01 2.4983e-06 2.4643e-06 3.8787e-01 0.44058 0.44787 0.48667 0.00646 -0.00007 -0.00003 1.54566e-01 9.49754e-04 -5.3617307799e-01 -3.8065749748e-01 2.6489075644e-10 
100.000 -0.02164 -0.02030 -0.00000 0.00395 -0.00418 -0.00000 -1.4186e-04 -5.3586e-05 7.9700e-01 -5.6534e-07 2.4664e-06 3.8788e-01 0.44926 0.43919 0.48667 -0.00545 0.00003 0.00008 1.54568e-01 9.49750e-04 -5.3617295862e-01 -3.8065519192e-01 3.2416155834e-10 
110.000 0.02672 -0.01215 0.00000 0.00239 0.00530 0.00000 1.5140e-04 -7.5689e-05 7.9700e-01 8.9579e-07 1.4640e-06 3.8788e-01 0.43807 0.45038 0.48667 0.00415 0.00004 -0.00008 1.54570e-01 9.49845e-04 -5.3617287378e-01 -3.8065348101e-01 2.6246403199e-10 
120.000 0.00055 0.02948 0.00000 -0.00579 0.00014 0.00000 -2.7844e-05 1.6724e-04 7.9700e-01 -1.0216e-06 1.7771e-06 3.8788e-01 0.45117 0.43728 0.48667 -0.00262 -0.00009 0.00002 1.54569e-01 9.49901e-04 -5.3617287254e-01 -3.8065360425e-01 3.0681099125e-10 
130.000 -0.02780 -0.01043 -0.00000 0.00202 -0.00538 0.00000 -8.9225e-05 -1.1537e-04 7.9700e-01 1.5090e-06 -8.2913e-07 3.8787e-01 0.43687 0.45159 0.48667 0.00095 0.00006 0.00005 1.54568e-01 9.49928e-04 -5.3617295826e-01 -3.8065537699e-01 2.9994594351e-10 
140.000 0.01983 -0.02172 -0.00000 0.00427 0.00394 0.00000 1.4141e-04 3.4761e-05 7.9699e-01 2.6939e-06 3.6055e-06 3.8787e-01 0.45161 0.43685 0.48667 0.00076 -0.00001 -0.00008 1.54565e-01 9.49972e-04 -5.3617310036e-01 -3.8065819924e-01 2.5790974931e-10 
