# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -1.54028 2.55288 0.00333 -0.49436 -0.29837 0.00061 -1.9622e-02 2.7018e-02 1.8706e-01 -2.3417e-06 4.5882e-06 5.3643e-05 0.00024 0.00022 0.00029 0.00004 -0.00000 0.00001 5.10217e-06 9.25654e-04 -1.9486218034e-04 7.3589368276e-04 8.3689924271e-11 
10.002 -1.84706 -2.35512 0.00102 0.45119 -0.35720 -0.00094 -1.3179e-02 -1.9824e-02 1.8189e-01 -2.6192e-06 -1.9959e-06 5.1545e-05 0.00024 0.00023 0.00028 -0.00004 0.00001 -0.00000 4.72478e-06 9.25562e-04 -1.9486393140e-04 7.3542325389e-04 8.2303452425e-11 
20.000 2.84590 -0.95278 -0.00572 0.18147 0.54442 -0.00002 1.6032e-02 -6.7706e-04 2.0414e-01 2.0603e-06 -1.4292e-06 5.7394e-05 0.00021 0.00027 0.00028 0.00003 -0.00001 -0.00001 5.87520e-06 9.25484e-04 -1.9486150105e-04 7.3649752850e-04 8.0077471634e-11 
30.000 -0.09021 2.97875 0.00047 -0.57781 -0.01896 0.00082 5.7227e-05 -3.6054e-03 1.9622e-01 1.9754e-06 -8.2802e-07 5.5007e-05 0.00028 0.00020 0.00028 0.00001 -0.00000 0.00001 5.39818e-06 9.25455e-04 -1.9486141029e-04 7.3599170613e-04 8.1872180823e-11 
40.002 -2.75208 -1.16089 0.00194 0.22196 -0.53258 -0.00064 1.5192e-02 -2.0970e-03 1.7983e-01 2.1743e-06 4.5500e-07 5.0651e-05 0.00021 0.00026 0.00028 -0.00003 0.00001 -0.00001 4.57038e-06 9.25444e-04 -1.9486335432e-04 7.3515081397e-04 8.4590536339e-11 
50.002 2.03340 -2.21443 -0.00617 0.42173 0.38794 -0.00043 -1.2621e-02 1.5508e-02 1.9328e-01 -3.0123e-06 1.0751e-06 5.4899e-05 0.00024 0.00023 0.00028 0.00004 -0.00001 -0.00000 5.33270e-06 9.25463e-04 -1.9486228621e-04 7.3593342596e-04 7.9086628592e-11 
60.002 1.38718 2.64243 -0.00252 -0.51256 0.26493 0.00097 -1.7553e-02 -2.8713e-02 2.0479e-01 -2.2582e-06 -4.9021e-06 5.8845e-05 0.00025 0.00021 0.00029 -0.00003 0.00000 0.00001 6.11557e-06 9.25550e-04 -1.9485937887e-04 7.3680588335e-04 8.3408857080e-11 
70.002 -2.95850 0.32708 0.00264 -0.06489 -0.57470 -0.00027 3.1404e-02 -2.1868e-03 1.9888e-01 4.4374e-06 -8.0414e-07 5.7122e-05 0.00020 0.00027 0.00029 0.00000 -0.00000 -0.00001 5.75084e-06 9.25650e-04 -1.9485896021e-04 7.3654213525e-04 8.6623609083e-11 
80.000 0.72611 -2.91637 -0.00515 0.55613 0.13692 -0.00071 -1.0975e-02 2.6316e-02 1.9071e-01 -7.0542e-07 4.4246e-06 5.4338e-05 0.00027 0.00020 0.00029 0.00002 -0.00000 0.00001 5.24355e-06 9.25692e-04 -1.9486000536e-04 7.3607576066e-04 8.5522317515e-11 
90.000 2.50692 1.64269 -0.00403 -0.31751 0.47850 0.00086 -1.1598e-02 -9.3269e-03 1.8890e-01 -2.4894e-06 9.2030e-08 5.3216e-05 0.00022 0.00025 0.00028 -0.00004 0.00001 -0.00000 5.04018e-06 9.25746e-04 -1.9486040241e-04 7.3592620645e-04 8.9877850837e-11 
100.000 -2.41139 1.74182 0.00345 -0.33882 -0.46891 0.00009 8.4708e-03 2.5162e-03 1.9560e-01 7.4703e-07 -5.4047e-07 5.4815e-05 0.00023 0.00025 0.00028 0.00004 -0.00001 -0.00001 5.36348e-06 9.25795e-04 -1.9485979800e-04 7.3629856188e-04 9.4539693006e-11 
110.000 -0.77138 -2.89549 -0.00222 0.55414 -0.15104 -0.00091 -1.9889e-03 -7.4695e-03 1.9679e-01 1.6164e-06 -1.4432e-06 5.5182e-05 0.00027 0.00020 0.00028 -0.00002 0.00000 0.00001 5.43352e-06 9.25763e-04 -1.9486034480e-04 7.3633577410e-04 8.9261037449e-11 
120.000 2.99534 0.23119 -0.00459 -0.04535 0.57122 0.00049 2.3221e-02 -3.3908e-03 1.8585e-01 3.6264e-06 4.7223e-07 5.2544e-05 0.00020 0.00027 0.00028 -0.00001 0.00001 -0.00001 4.92389e-06 9.25733e-04 -1.9486200661e-04 7.3579454067e-04 8.7124858937e-11 
