# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 0.01540 -0.02553 -0.00003 0.00494 0.00298 -0.00001 -4.7848e-05 5.8301e-06 7.9710e-01 -2.3430e-05 2.5588e-06 3.8833e-01 0.44598 0.42510 0.48718 -0.00153 0.00000 -0.00000 1.54770e-01 9.25654e-04 -5.3947942137e-01 -3.8378379681e-01 8.3689924271e-11 
10.002 0.01847 0.02355 -0.00001 -0.00451 0.00357 0.00001 -4.8470e-05 3.0586e-05 7.9690e-01 -2.3421e-05 1.4867e-05 3.8823e-01 0.42503 0.44604 0.48717 -0.00095 0.00000 -0.00000 1.54689e-01 9.25299e-04 -5.3948053132e-01 -3.8386611453e-01 8.1548089662e-11 
20.000 -0.02846 0.00953 0.00006 -0.00181 -0.00544 0.00000 -6.9289e-05 2.3225e-05 7.9670e-01 -3.3709e-05 1.1357e-05 3.8812e-01 0.44556 0.42551 0.48717 0.00326 0.00000 -0.00000 1.54609e-01 9.24957e-04 -5.3948160641e-01 -3.8394760350e-01 7.9358779758e-11 
30.000 0.00090 -0.02979 -0.00000 0.00578 0.00019 -0.00001 -5.5030e-05 5.6569e-06 7.9650e-01 -2.6731e-05 2.8486e-06 3.8802e-01 0.42649 0.44459 0.48716 -0.00541 0.00000 -0.00000 1.54530e-01 9.24667e-04 -5.3948266767e-01 -3.8402819354e-01 8.1380948023e-11 
40.002 0.02752 0.01160 -0.00002 -0.00222 0.00533 0.00001 -4.0831e-05 2.6337e-05 7.9630e-01 -2.0111e-05 1.3005e-05 3.8793e-01 0.44316 0.42791 0.48716 0.00728 0.00000 -0.00000 1.54453e-01 9.24397e-04 -5.3948368406e-01 -3.8410641839e-01 8.4488456923e-11 
50.002 -0.02033 0.02215 0.00006 -0.00422 -0.00388 0.00000 -6.3024e-05 3.4207e-05 7.9611e-01 -3.0854e-05 1.6291e-05 3.8783e-01 0.42965 0.44142 0.48716 -0.00875 0.00000 -0.00000 1.54378e-01 9.24160e-04 -5.3948462310e-01 -3.8418200375e-01 7.9301342212e-11 
60.002 -0.01389 -0.02642 0.00003 0.00512 -0.00265 -0.00001 -6.3030e-05 1.1419e-05 7.9593e-01 -3.0282e-05 5.4167e-06 3.8774e-01 0.43945 0.43162 0.48715 0.00979 0.00000 -0.00000 1.54306e-01 9.23993e-04 -5.3948550266e-01 -3.8425597985e-01 8.4087956783e-11 
70.002 0.02959 -0.00329 -0.00003 0.00065 0.00575 0.00000 -3.9015e-05 2.0997e-05 7.9575e-01 -1.8818e-05 1.0666e-05 3.8765e-01 0.43374 0.43733 0.48715 -0.01039 0.00000 -0.00000 1.54234e-01 9.23837e-04 -5.3948633233e-01 -3.8432842913e-01 8.7678998576e-11 
80.000 -0.00723 0.02917 0.00005 -0.00556 -0.00136 0.00001 -5.5792e-05 3.9138e-05 7.9556e-01 -2.7589e-05 1.9224e-05 3.8755e-01 0.43521 0.43585 0.48715 0.01054 0.00000 -0.00000 1.54161e-01 9.23619e-04 -5.3948718939e-01 -3.8440244330e-01 8.6776459158e-11 
90.000 -0.02509 -0.01640 0.00004 0.00317 -0.00479 -0.00001 -6.3374e-05 1.8410e-05 7.9537e-01 -3.1083e-05 8.5480e-06 3.8746e-01 0.43795 0.43311 0.48714 -0.01027 -0.00000 -0.00000 1.54086e-01 9.23410e-04 -5.3948807719e-01 -3.8447821260e-01 9.0314133081e-11 
