# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -1.54028 2.55288 0.00333 -0.49436 -0.29837 0.00061 -1.9622e-02 2.7018e-02 1.8706e-01 -2.3417e-06 4.5882e-06 5.3643e-05 0.00024 0.00022 0.00029 0.00004 -0.00000 0.00001 5.10217e-06 9.25654e-04 -1.9486218034e-04 7.3589368276e-04 8.3689924271e-11 
10.002 -1.84696 -2.35502 0.00102 0.45121 -0.35717 -0.00094 -1.3178e-02 -1.9824e-02 1.8189e-01 -2.6191e-06 -1.9961e-06 5.1545e-05 0.00024 0.00023 0.00028 -0.00004 0.00001 -0.00000 4.72474e-06 9.25563e-04 -1.9486393032e-04 7.3542334889e-04 8.2328894685e-11 
20.000 2.84563 -0.95155 -0.00572 0.18125 0.54457 -0.00002 1.6035e-02 -6.7230e-04 2.0418e-01 2.0613e-06 -1.4287e-06 5.7405e-05 0.00021 0.00027 0.00028 0.00003 -0.00001 -0.00001 5.87745e-06 9.25484e-04 -1.9486149265e-04 7.3650023069e-04 8.0169805305e-11 
30.000 -0.09376 2.97771 0.00048 -0.57789 -0.01967 0.00082 5.9268e-05 -3.6174e-03 1.9634e-01 1.9769e-06 -8.2785e-07 5.5041e-05 0.00028 0.00020 0.00028 0.00001 -0.00000 0.00001 5.40483e-06 9.25456e-04 -1.9486138890e-04 7.3599897380e-04 8.2007957676e-11 
40.002 -2.74876 -1.16629 0.00193 0.22313 -0.53218 -0.00064 1.5218e-02 -2.0534e-03 1.7995e-01 2.1754e-06 4.6202e-07 5.0686e-05 0.00021 0.00026 0.00028 -0.00003 0.00001 -0.00001 4.57662e-06 9.25445e-04 -1.9486333114e-04 7.3515798121e-04 8.4735974200e-11 
50.002 2.03945 -2.20696 -0.00617 0.42055 0.38942 -0.00043 -1.2710e-02 1.5500e-02 1.9336e-01 -3.0234e-06 1.0713e-06 5.4925e-05 0.00024 0.00023 0.00028 0.00004 -0.00001 -0.00000 5.33781e-06 9.25465e-04 -1.9486226084e-04 7.3594045851e-04 7.9280309456e-11 
60.002 1.37359 2.64745 -0.00250 -0.51402 0.26253 0.00097 -1.7448e-02 -2.8803e-02 2.0497e-01 -2.2433e-06 -4.9108e-06 5.8898e-05 0.00025 0.00021 0.00029 -0.00003 0.00000 0.00001 6.12648e-06 9.25553e-04 -1.9485933612e-04 7.3682024453e-04 8.3716916873e-11 
70.002 -2.95882 0.30721 0.00262 -0.06109 -0.57528 -0.00028 3.1416e-02 -1.9390e-03 1.9914e-01 4.4417e-06 -7.6883e-07 5.7198e-05 0.00020 0.00027 0.00029 0.00000 -0.00000 -0.00001 5.76575e-06 9.25654e-04 -1.9485890492e-04 7.3656128300e-04 8.7012661260e-11 
80.000 0.75015 -2.90811 -0.00518 0.55512 0.14171 -0.00071 -1.1169e-02 2.6194e-02 1.9085e-01 -7.3186e-07 4.4169e-06 5.4377e-05 0.00027 0.00020 0.00029 0.00002 -0.00000 0.00001 5.25088e-06 9.25697e-04 -1.9485996637e-04 7.3608752080e-04 8.6003528468e-11 
90.000 2.48670 1.66819 -0.00398 -0.32286 0.47527 0.00086 -1.1419e-02 -9.4546e-03 1.8906e-01 -2.4733e-06 6.1574e-08 5.3261e-05 0.00022 0.00025 0.00028 -0.00004 0.00001 -0.00000 5.04851e-06 9.25751e-04 -1.9486035683e-04 7.3593934615e-04 9.0450237867e-11 
100.000 -2.43269 1.70720 0.00345 -0.33258 -0.47368 0.00008 8.3985e-03 2.6294e-03 1.9604e-01 7.5102e-07 -5.4093e-07 5.4938e-05 0.00022 0.00025 0.00028 0.00004 -0.00001 -0.00001 5.38743e-06 9.25798e-04 -1.9485972242e-04 7.3632613385e-04 9.4957504025e-11 
