# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 0.01540 -0.02553 -0.00003 0.00494 0.00298 -0.00001 -4.7848e-05 5.8301e-06 7.9710e-01 -2.3430e-05 2.5588e-06 3.8833e-01 0.44598 0.42510 0.48718 -0.00153 0.00000 -0.00000 1.54770e-01 9.25654e-04 -5.3947942137e-01 -3.8378378128e-01 8.3689924271e-11 
10.002 0.01847 0.02355 -0.00001 -0.00451 0.00357 0.00001 -4.8525e-05 3.0583e-05 7.9709e-01 -2.3422e-05 1.4868e-05 3.8832e-01 0.42504 0.44604 0.48718 -0.00097 0.00000 -0.00000 1.54766e-01 9.25562e-04 -5.3947957359e-01 -3.8378841079e-01 8.2298350124e-11 
20.000 -0.02846 0.00953 0.00006 -0.00182 -0.00544 0.00000 -6.9244e-05 2.3136e-05 7.9708e-01 -3.3710e-05 1.1355e-05 3.8832e-01 0.44554 0.42554 0.48718 0.00334 0.00000 -0.00000 1.54762e-01 9.25484e-04 -5.3947968933e-01 -3.8379223939e-01 8.0060246446e-11 
30.000 0.00090 -0.02979 -0.00000 0.00578 0.00019 -0.00001 -5.4946e-05 5.7575e-06 7.9708e-01 -2.6724e-05 2.8503e-06 3.8832e-01 0.42659 0.44449 0.48717 -0.00557 -0.00000 -0.00000 1.54759e-01 9.25455e-04 -5.3947979130e-01 -3.8379520049e-01 8.1850636793e-11 
40.002 0.02753 0.01160 -0.00002 -0.00222 0.00533 0.00001 -4.0967e-05 2.6392e-05 7.9708e-01 -2.0123e-05 1.3023e-05 3.8832e-01 0.44294 0.42814 0.48717 0.00751 0.00000 -0.00000 1.54758e-01 9.25444e-04 -5.3947985148e-01 -3.8379592288e-01 8.4565584083e-11 
50.002 -0.02032 0.02216 0.00006 -0.00422 -0.00388 0.00000 -6.3034e-05 3.4089e-05 7.9708e-01 -3.0870e-05 1.6275e-05 3.8832e-01 0.43008 0.44100 0.48717 -0.00902 0.00000 -0.00000 1.54760e-01 9.25463e-04 -5.3947983921e-01 -3.8379417799e-01 7.9048771428e-11 
60.002 -0.01390 -0.02642 0.00003 0.00512 -0.00265 -0.00001 -6.2990e-05 1.1453e-05 7.9709e-01 -3.0281e-05 5.4264e-06 3.8832e-01 0.43876 0.43232 0.48718 0.01004 0.00000 -0.00000 1.54763e-01 9.25549e-04 -5.3947977138e-01 -3.8379095108e-01 8.3354921528e-11 
70.002 0.02958 -0.00330 -0.00003 0.00066 0.00575 0.00000 -3.9027e-05 2.0872e-05 7.9710e-01 -1.8840e-05 1.0607e-05 3.8833e-01 0.43473 0.43634 0.48718 -0.01052 0.00000 -0.00000 1.54768e-01 9.25650e-04 -5.3947965214e-01 -3.8378609482e-01 8.6561458899e-11 
80.000 -0.00722 0.02918 0.00005 -0.00556 -0.00136 0.00001 -5.5477e-05 3.9299e-05 7.9711e-01 -2.7442e-05 1.9264e-05 3.8833e-01 0.43392 0.43716 0.48718 0.01042 0.00000 -0.00000 1.54771e-01 9.25691e-04 -5.3947955278e-01 -3.8378247241e-01 8.5434286340e-11 
90.000 -0.02510 -0.01638 0.00004 0.00317 -0.00479 -0.00001 -6.3791e-05 1.8809e-05 7.9711e-01 -3.1232e-05 8.7477e-06 3.8833e-01 0.43954 0.43154 0.48718 -0.00977 0.00000 -0.00000 1.54773e-01 9.25746e-04 -5.3947947940e-01 -3.8378038073e-01 8.9774993077e-11 
