# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.02079 -0.00000 0.00000 -0.00000 -0.00687 0.00000 -5.2591e-18 -2.5507e-17 8.0000e-01 3.0358e-18 -3.6185e-17 3.8839e-01 0.42881 0.44951 0.48549 0.00000 -0.00000 0.00000 1.55357e-01 6.76333e-31 -5.3817613886e-01 -3.8281901945e-01 1.0165567075e-32 
10.002 0.01967 0.00517 0.00005 -0.00181 0.00687 -0.00001 9.8316e-05 -3.0316e-06 7.9716e-01 3.8236e-05 -3.8720e-06 3.8831e-01 0.44580 0.42531 0.48711 0.00247 -0.00000 -0.00001 1.54772e-01 9.08922e-04 -5.3948329681e-01 -3.8380201633e-01 4.7379405734e-07 
20.000 -0.01875 -0.00941 -0.00001 0.00310 -0.00608 0.00002 2.3097e-05 -4.5899e-05 7.9718e-01 2.0271e-05 -2.8905e-05 3.8838e-01 0.42612 0.44496 0.48719 -0.00478 -0.00001 0.00001 1.54802e-01 9.28172e-04 -5.3947869459e-01 -3.8374832517e-01 2.5054929717e-09 
30.000 0.01384 0.01448 0.00002 -0.00510 0.00509 -0.00002 7.6925e-05 -5.5292e-05 7.9705e-01 3.3764e-05 -1.3116e-05 3.8831e-01 0.44358 0.42749 0.48718 0.00680 0.00001 0.00000 1.54751e-01 9.27872e-04 -5.3947995992e-01 -3.8380098815e-01 1.0730097894e-09 
40.002 -0.01296 -0.01679 0.00003 0.00548 -0.00396 0.00001 1.9917e-05 -4.4655e-05 7.9719e-01 4.2900e-06 -3.1963e-05 3.8838e-01 0.42933 0.44175 0.48719 -0.00854 -0.00002 -0.00001 1.54808e-01 9.27805e-04 -5.3947836865e-01 -3.8374303610e-01 6.8267197028e-10 
50.002 0.00535 0.01945 0.00003 -0.00681 0.00202 -0.00001 4.3042e-05 2.1012e-06 7.9717e-01 2.5438e-05 1.0712e-05 3.8837e-01 0.43961 0.43146 0.48719 0.00973 0.00001 0.00001 1.54800e-01 9.28183e-04 -5.3947891272e-01 -3.8375050569e-01 1.0729603691e-09 
60.002 -0.00268 -0.02089 0.00002 0.00679 -0.00075 0.00001 7.5576e-05 -2.0233e-05 7.9715e-01 2.4169e-05 -1.4553e-05 3.8836e-01 0.43387 0.43721 0.48719 -0.01042 -0.00001 -0.00001 1.54790e-01 9.27894e-04 -5.3947882008e-01 -3.8376130256e-01 7.3579330135e-10 
70.002 -0.00450 0.01966 -0.00000 -0.00695 -0.00148 -0.00001 3.8274e-05 2.3748e-05 7.9713e-01 2.9717e-05 6.6121e-06 3.8835e-01 0.43477 0.43631 0.48718 0.01053 -0.00001 0.00002 1.54784e-01 9.28148e-04 -5.3947924148e-01 -3.8376750177e-01 1.2938100466e-09 
80.000 0.00784 -0.01938 0.00005 0.00635 0.00270 0.00001 6.9458e-05 -8.3934e-05 7.9711e-01 2.9398e-05 -2.9933e-05 3.8834e-01 0.43873 0.43235 0.48718 -0.01005 0.00001 -0.00000 1.54772e-01 9.27294e-04 -5.3947916274e-01 -3.8377949984e-01 9.0169966723e-10 
90.000 -0.01321 0.01595 -0.00000 -0.00539 -0.00432 0.00000 -1.4281e-06 5.8723e-06 7.9722e-01 -5.5549e-06 -6.5442e-06 3.8839e-01 0.43011 0.44097 0.48719 0.00906 -0.00001 -0.00001 1.54817e-01 9.28258e-04 -5.3947844618e-01 -3.8373294977e-01 1.6265595439e-09 
100.000 0.01605 -0.01237 0.00004 0.00435 0.00563 -0.00000 5.1962e-06 -5.9923e-05 7.9707e-01 1.2585e-05 -2.1674e-05 3.8832e-01 0.44291 0.42816 0.48718 -0.00752 0.00001 0.00001 1.54759e-01 9.27790e-04 -5.3947964782e-01 -3.8379240861e-01 8.5506167440e-10 
110.000 -0.01918 0.00850 0.00000 -0.00274 -0.00626 -0.00000 2.6047e-05 5.5741e-06 7.9720e-01 1.1034e-07 4.8905e-06 3.8839e-01 0.42659 0.44448 0.48719 0.00562 0.00000 -0.00001 1.54811e-01 9.28021e-04 -5.3947853853e-01 -3.8373990847e-01 6.6865032423e-10 
