# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.00005 0.02076 0.00002 -0.00695 -0.00008 0.00000 -1.2676e-05 1.6770e-05 7.9700e-01 -3.3131e-06 1.3330e-05 3.8828e-01 0.44521 0.42587 0.48718 0.00425 0.00001 0.00000 1.54732e-01 9.27831e-04 -5.3947957273e-01 -3.8382023704e-01 5.6780354501e-10 
10.002 0.00401 -0.02053 0.00003 0.00680 0.00134 -0.00001 -6.6161e-06 -4.6206e-05 7.9687e-01 -7.2511e-06 -2.2844e-05 3.8822e-01 0.42715 0.44393 0.48718 -0.00637 -0.00000 -0.00001 1.54679e-01 9.26779e-04 -5.3948070826e-01 -3.8387501405e-01 5.0273317865e-10 
20.000 -0.00802 0.01928 0.00002 -0.00640 -0.00261 0.00001 -7.5056e-05 2.2024e-06 7.9701e-01 -3.4606e-05 1.8480e-06 3.8829e-01 0.44230 0.42878 0.48718 0.00812 0.00000 -0.00000 1.54737e-01 9.27957e-04 -5.3947936650e-01 -3.8381432681e-01 5.9857991244e-10 
30.000 0.01128 -0.01743 0.00000 0.00587 0.00379 -0.00001 -3.4185e-05 -3.1069e-05 7.9687e-01 -1.8179e-05 -1.4115e-05 3.8822e-01 0.43083 0.44024 0.48718 -0.00942 -0.00000 -0.00000 1.54680e-01 9.27246e-04 -5.3948072641e-01 -3.8387314533e-01 5.4865493781e-10 
40.002 -0.01442 0.01503 0.00004 -0.00498 -0.00481 0.00000 -5.4296e-05 3.7239e-05 7.9703e-01 -2.5000e-05 1.5648e-05 3.8830e-01 0.43793 0.43314 0.48718 0.01029 0.00000 -0.00000 1.54743e-01 9.27915e-04 -5.3947914419e-01 -3.8380773254e-01 5.1924047533e-10 
50.002 0.01692 -0.01225 0.00001 0.00403 0.00566 -0.00000 -3.5902e-06 -3.3650e-05 7.9687e-01 9.7599e-07 -1.0795e-05 3.8822e-01 0.43555 0.43552 0.48718 -0.01053 0.00000 0.00000 1.54680e-01 9.26852e-04 -5.3948083184e-01 -3.8387411334e-01 5.2094527162e-10 
60.002 -0.01912 0.00846 0.00003 -0.00287 -0.00628 0.00001 -5.0878e-05 -2.6465e-05 7.9699e-01 -3.0645e-05 -1.2800e-05 3.8828e-01 0.43309 0.43798 0.48718 0.01028 -0.00000 -0.00001 1.54726e-01 9.27859e-04 -5.3947953021e-01 -3.8382541120e-01 5.9250809986e-10 
70.002 0.02006 -0.00509 -0.00000 0.00170 0.00680 -0.00001 -2.7556e-05 -1.9979e-05 7.9687e-01 -8.2311e-06 -1.1332e-05 3.8822e-01 0.44024 0.43083 0.48718 -0.00943 -0.00000 0.00000 1.54679e-01 9.27304e-04 -5.3948080863e-01 -3.8387401994e-01 5.3883084570e-10 
80.000 -0.02087 0.00114 0.00005 -0.00039 -0.00689 -0.00000 -6.6573e-05 -3.3058e-06 7.9702e-01 -3.5328e-05 3.3537e-06 3.8829e-01 0.42879 0.44228 0.48718 0.00813 0.00001 -0.00001 1.54739e-01 9.27762e-04 -5.3947915471e-01 -3.8381232569e-01 5.2215360874e-10 
90.000 0.02070 0.00259 0.00000 -0.00093 0.00688 0.00000 8.0791e-06 1.5433e-05 7.9692e-01 3.0612e-06 5.6041e-06 3.8824e-01 0.44393 0.42714 0.48718 -0.00637 -0.00000 -0.00000 1.54697e-01 9.27186e-04 -5.3948048988e-01 -3.8385593713e-01 5.4881691556e-10 
100.000 -0.01978 -0.00680 0.00003 0.00217 -0.00656 0.00000 -3.5495e-05 -2.5495e-05 7.9696e-01 -1.6617e-05 -9.9670e-06 3.8827e-01 0.42588 0.44519 0.48718 0.00427 0.00000 -0.00000 1.54717e-01 9.27770e-04 -5.3947968348e-01 -3.8383484852e-01 5.8013201759e-10 
