# t C_xx C_xy C_xz C_yx C_yy C_yz C_zx C_zy C_zz 
0.000 4.176102e+01 -1.987993e-15 -5.412337e-16 -1.443290e-15 3.834500e+01 5.759282e-15 -5.134781e-16 5.759282e-15 3.240806e+01
1.000 2.915467e+01 -2.743788e+01 -3.434726e-04 2.987444e+01 2.677573e+01 -1.781729e-03 1.040664e-03 -3.067384e-03 3.217895e+01
2.002 -1.062909e+00 -3.837437e+01 2.286451e-03 4.177783e+01 -9.856674e-01 5.017650e-04 3.929312e-03 -6.745590e-03 3.207487e+01
3.002 -3.066457e+01 -2.613923e+01 6.925661e-04 2.846162e+01 -2.816650e+01 4.148276e-03 6.787978e-03 -9.250072e-03 3.202135e+01
4.002 -4.180643e+01 1.881895e+00 -1.580529e-03 -2.050630e+00 -3.838940e+01 5.476009e-03 6.831129e-03 -1.173325e-02 3.200001e+01
5.000 -2.779686e+01 2.872842e+01 -1.216400e-04 -3.130030e+01 -2.552121e+01 2.879550e-03 4.417236e-03 -8.913405e-03 3.200226e+01
6.000 2.969357e+00 3.831767e+01 1.965583e-03 -4.175279e+01 2.717471e+00 3.882792e-03 3.528225e-03 -4.860393e-03 3.201612e+01
7.000 3.193977e+01 2.482107e+01 -8.034792e-04 -2.704650e+01 2.930242e+01 5.775734e-03 4.290283e-03 -2.591930e-03 3.203003e+01
8.000 4.166163e+01 -3.620545e+00 -5.443825e-03 3.949768e+00 3.822422e+01 2.997809e-03 5.831708e-03 -2.013238e-03 3.203907e+01
9.000 2.628319e+01 -2.987497e+01 -6.040406e-03 3.256187e+01 2.411511e+01 -3.562982e-03 7.608485e-03 -2.453504e-03 3.204254e+01
10.002 -4.996811e+00 -3.811952e+01 -8.996080e-04 4.154557e+01 -4.586584e+00 -8.490778e-03 9.269260e-03 -3.453827e-03 3.204217e+01
11.002 -3.321367e+01 -2.335289e+01 6.394404e-03 2.545280e+01 -3.047865e+01 -7.583124e-03 1.044575e-02 -4.609009e-03 3.204029e+01
12.002 -4.141580e+01 5.488240e+00 1.063309e-02 -5.977827e+00 -3.800441e+01 -1.221698e-03 1.090657e-02 -5.428031e-03 3.203859e+01
13.002 -2.466101e+01 3.102307e+01 8.690118e-03 -3.380649e+01 -2.262927e+01 6.542821e-03 1.084641e-02 -5.546526e-03 3.203764e+01
14.002 6.954842e+00 3.786501e+01 1.259041e-03 -4.126452e+01 6.381418e+00 1.054155e-02 1.065872e-02 -4.895072e-03 3.203731e+01
15.002 3.438108e+01 2.189074e+01 -7.088836e-03 -2.385705e+01 3.154695e+01 7.474234e-03 1.065486e-02 -3.729937e-03 3.203730e+01
16.002 4.109018e+01 -7.274959e+00 -1.042004e-02 7.927130e+00 3.770232e+01 -1.331887e-03 1.115560e-02 -2.222581e-03 3.203737e+01
17.002 2.303855e+01 -3.205663e+01 -5.744725e-03 3.493447e+01 2.113753e+01 -1.009735e-02 1.253682e-02 -7.601103e-04 3.203746e+01
18.002 -8.894969e+00 -3.752069e+01 4.403073e-03 4.089023e+01 -8.164348e+00 -1.243416e-02 1.446060e-02 1.855011e-04 3.203757e+01
19.000 -3.543253e+01 -2.042807e+01 1.329058e-02 2.226346e+01 -3.251381e+01 -6.035175e-03 1.628396e-02 5.586478e-04 3.203766e+01
20.000 -4.068488e+01 8.986980e+00 1.453234e-02 -9.793270e+00 -3.733162e+01 5.448804e-03 1.754136e-02 5.213416e-04 3.203773e+01
21.000 -2.142042e+01 3.298691e+01 6.493067e-03 -3.594934e+01 -1.965338e+01 1.444882e-02 1.796594e-02 4.317184e-04 3.203780e+01
22.000 1.075179e+01 3.710838e+01 -6.032090e-03 -4.044201e+01 9.868100e+00 1.445382e-02 1.763092e-02 7.873609e-04 3.203785e+01
23.000 3.644423e+01 1.886884e+01 -1.464392e-02 -2.056520e+01 3.344273e+01 4.804057e-03 1.707541e-02 1.849288e-03 3.203786e+01
24.000 4.017637e+01 -1.074019e+01 -1.309042e-02 1.170322e+01 3.686605e+01 -8.389232e-03 1.682183e-02 3.476265e-03 3.203782e+01
25.000 1.969924e+01 -3.387786e+01 -1.888157e-03 3.692009e+01 1.807529e+01 -1.607264e-02 1.705562e-02 5.232401e-03 3.203775e+01
26.000 -1.264903e+01 -3.660133e+01 1.156567e-02 3.988978e+01 -1.160770e+01 -1.253656e-02 1.753587e-02 6.749357e-03 3.203771e+01
27.000 -3.737533e+01 -1.726834e+01 1.797079e-02 1.882178e+01 -3.429601e+01 2.566850e-04 1.815379e-02 7.992986e-03 3.203771e+01
28.000 -3.957897e+01 1.247057e+01 1.253496e-02 -1.358776e+01 -3.631713e+01 1.390566e-02 1.873695e-02 8.895389e-03 3.203775e+01
29.000 -1.793332e+01 3.469450e+01 -1.699018e-03 -3.780871e+01 -1.645457e+01 1.910574e-02 1.895682e-02 9.661751e-03 3.203779e+01
30.000 1.451852e+01 3.601301e+01 -1.553258e-02 -3.924732e+01 1.332281e+01 1.180394e-02 1.885249e-02 1.055665e-02 3.203778e+01
31.000 3.822262e+01 1.563059e+01 -1.951582e-02 -1.703574e+01 3.507256e+01 -3.746472e-03 1.863940e-02 1.158924e-02 3.203775e+01
32.000 3.889379e+01 -1.417116e+01 -1.043925e-02 1.544192e+01 3.568725e+01 -1.738218e-02 1.839051e-02 1.266845e-02 3.203776e+01
33.000 1.612807e+01 -3.543294e+01 6.046041e-03 3.861369e+01 1.479677e+01 -1.976753e-02 1.812337e-02 1.371558e-02 3.203777e+01
34.000 -1.635537e+01 -3.534368e+01 1.897864e-02 3.851759e+01 -1.500956e+01 -8.940990e-03 1.780405e-02 1.462260e-02 3.203777e+01
35.000 -3.898368e+01 -1.395780e+01 1.948410e-02 1.521192e+01 -3.577183e+01 8.098788e-03 1.726729e-02 1.539360e-02 3.203775e+01
36.000 -3.812144e+01 1.583895e+01 6.878307e-03 -1.726080e+01 -3.497902e+01 1.987060e-02 1.631787e-02 1.611602e-02 3.203774e+01
37.000 -1.428717e+01 3.609137e+01 -1.054633e-02 -3.933275e+01 -1.310766e+01 1.823250e-02 1.509570e-02 1.711970e-02 3.203774e+01
38.000 1.815646e+01 3.459463e+01 -2.110685e-02 -3.770262e+01 1.666263e+01 4.043580e-03 1.415632e-02 1.844395e-02 3.203775e+01
39.002 3.967959e+01 1.219359e+01 -1.761868e-02 -1.329038e+01 3.641121e+01 -1.352807e-02 1.367599e-02 1.981846e-02 3.203779e+01
40.002 3.723273e+01 -1.752793e+01 -2.138419e-03 1.910087e+01 3.416462e+01 -2.289855e-02 1.361840e-02 2.098795e-02 3.203778e+01
41.002 1.234999e+01 -3.668803e+01 1.536154e-02 3.998310e+01 1.133141e+01 -1.781237e-02 1.380424e-02 2.161790e-02 3.203774e+01
42.002 -1.997560e+01 -3.373998e+01 2.343425e-02 3.677183e+01 -1.833053e+01 -1.431449e-03 1.376922e-02 2.155995e-02 3.203773e+01
43.002 -4.026352e+01 -1.045985e+01 1.673870e-02 1.140197e+01 -3.694606e+01 1.555244e-02 1.303113e-02 2.109102e-02 3.203775e+01
44.002 -3.628915e+01 1.912283e+01 -2.668051e-04 -2.083763e+01 -3.329827e+01 2.196737e-02 1.154861e-02 2.067620e-02 3.203776e+01
45.002 -1.044827e+01 3.718280e+01 -1.631188e-02 -4.052091e+01 -9.586386e+00 1.368529e-02 9.596271e-03 2.071508e-02 3.203776e+01
46.002 2.168899e+01 3.283792e+01 -2.079678e-02 -3.578752e+01 1.990209e+01 -3.696616e-03 7.609705e-03 2.129789e-02 3.203773e+01
47.002 4.075734e+01 8.705117e+00 -1.084385e-02 -9.488628e+00 3.739805e+01 -1.857908e-02 5.961149e-03 2.228755e-02 3.203773e+01
48.002 3.526533e+01 -2.067374e+01 6.734282e-03 2.252840e+01 3.235750e+01 -2.118878e-02 5.166743e-03 2.339060e-02 3.203773e+01
49.002 8.522765e+00 -3.759424e+01 2.033560e-02 4.096928e+01 7.818160e+00 -1.010557e-02 5.234536e-03 2.397226e-02 3.203776e+01
50.002 -2.335456e+01 -3.186134e+01 2.138955e-02 3.472272e+01 -2.143168e+01 7.199896e-03 5.538648e-03 2.374893e-02 3.203778e+01
51.002 -4.115935e+01 -6.930184e+00 9.630066e-03 7.553246e+00 -3.776779e+01 1.955670e-02 5.527267e-03 2.282455e-02 3.203776e+01
52.002 -3.416229e+01 2.217748e+01 -7.051003e-03 -2.416873e+01 -3.134579e+01 1.934008e-02 4.859993e-03 2.149241e-02 3.203773e+01
