# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
0.000 -0.029703 -0.000000 0.000000 -0.000000 -0.005745 0.000000 2.174440e-18 -2.550655e-17 8.000000e-01 3.794708e-18 -3.618525e-17 3.883928e-01 4.288064e-01 4.495096e-01 4.854910e-01 8.063754e-18 -3.089976e-17 3.577867e-18 1.55357e-01 6.91139e-31 -5.3817613886e-01 -3.8281901945e-01 6.0362285338e-33 
1.000 -0.029140 -0.005710 0.000000 0.001121 -0.005640 0.000000 2.795014e-05 -3.599742e-05 8.004847e-01 7.503547e-08 -6.404529e-07 3.883827e-01 4.364838e-01 4.359917e-01 4.851845e-01 -1.028377e-02 1.916533e-05 -1.560921e-05 1.55575e-01 5.07397e-04 -5.3949673047e-01 -3.8341388887e-01 2.6534167687e-04 
2.002 -0.027473 -0.011219 0.000001 0.002197 -0.005321 0.000001 9.779439e-05 4.770137e-05 7.985146e-01 4.656145e-07 -1.938667e-06 3.883733e-01 4.458501e-01 4.253101e-01 4.863697e-01 4.661637e-04 -2.789195e-05 -5.404819e-05 1.55168e-01 8.17307e-04 -5.3959191003e-01 -3.8360630722e-01 1.5828460603e-04 
3.002 -0.024772 -0.016296 0.000002 0.003187 -0.004799 0.000001 2.097594e-05 1.637570e-04 7.968088e-01 1.170744e-06 -3.251855e-06 3.883746e-01 4.347096e-01 4.362119e-01 4.874125e-01 1.029237e-02 -9.400060e-05 -1.208966e-05 1.54783e-01 1.00830e-03 -5.3947294342e-01 -3.8368190508e-01 7.5996046456e-05 
4.002 -0.021137 -0.020755 0.000003 0.004061 -0.004090 0.000002 -9.455495e-05 1.694782e-04 7.962715e-01 2.997734e-06 -5.478032e-06 3.883831e-01 4.250432e-01 4.457076e-01 4.877522e-01 -1.022980e-03 -1.018654e-04 5.445510e-05 1.54641e-01 1.10377e-03 -5.3945473100e-01 -3.8370954037e-01 1.8025390602e-05 
5.000 -0.016710 -0.024416 0.000006 0.004785 -0.003222 0.000003 -9.575416e-05 4.208600e-05 7.963581e-01 4.802017e-06 -7.040711e-06 3.883906e-01 4.366541e-01 4.341066e-01 4.877086e-01 -1.038361e-02 -3.303136e-05 5.908205e-05 1.54652e-01 1.08997e-03 -5.3946084028e-01 -3.8371917841e-01 3.3323637054e-06 
6.000 -0.011635 -0.027148 0.000008 0.005333 -0.002224 0.000003 -1.817844e-05 -1.704393e-05 7.966867e-01 4.727061e-06 -7.023425e-06 3.883911e-01 4.458568e-01 4.250346e-01 4.875080e-01 1.534806e-03 3.122124e-07 1.613959e-05 1.54716e-01 1.02265e-03 -5.3946570733e-01 -3.8372657229e-01 4.1368973899e-06 
7.000 -0.006110 -0.028835 0.000011 0.005682 -0.001138 0.000002 2.120609e-05 -6.427864e-06 7.970039e-01 5.182890e-06 -7.140630e-06 3.883787e-01 4.337307e-01 4.372838e-01 4.872984e-01 1.041245e-02 -5.709679e-06 -4.953445e-06 1.54773e-01 9.60104e-04 -5.3947345719e-01 -3.8374065173e-01 3.9291900272e-06 
8.000 -0.000346 -0.029411 0.000013 0.005809 -0.000009 0.000003 2.408531e-05 4.772443e-09 7.972103e-01 7.185471e-06 -7.352158e-06 3.883712e-01 4.251630e-01 4.459325e-01 4.871628e-01 -2.007453e-03 -9.164377e-06 -3.831738e-06 1.54808e-01 9.21084e-04 -5.3947838572e-01 -3.8374894786e-01 2.2020464144e-06 
9.000 0.005431 -0.028850 0.000016 0.005706 0.001129 0.000003 2.890735e-05 -6.115644e-06 7.973185e-01 9.216646e-06 -7.177679e-06 3.883811e-01 4.377967e-01 4.333281e-01 4.871090e-01 -1.033454e-02 -5.303845e-06 -4.392346e-06 1.54833e-01 9.06147e-04 -5.3948092149e-01 -3.8374224371e-01 1.0189966046e-06 
